Equation,Iteration,Euler Error,Euler Improved Error,RK4 Error,,,,,,Euler Time,Euler Improved Time,RK4 Time,,,,Euler Time,Euler Improved Time,RK4 Time
Equation 1,76,1.153962952,4.32E-14,4.32E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,77,1.140909764,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,78,1.128145791,2.06E-14,2.06E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,79,1.11566163,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,80,1.103448276,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,81,1.091497103,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,82,1.079799842,1.87E-14,1.87E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,83,1.068348565,1.83E-14,1.83E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,84,1.057135666,1.79E-14,1.79E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,85,1.046153846,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,86,1.035396099,1.71E-14,1.71E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,87,1.024855696,1.67E-14,1.67E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,88,1.01452617,1.64E-14,1.64E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,89,1.004401309,1.60E-14,1.60E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,90,0.994475138,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,91,0.984741911,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,92,0.975196099,1.51E-14,1.51E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,93,0.965832381,1.48E-14,1.48E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,94,0.956645634,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,95,0.947630923,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,96,0.938783493,2.78E-14,2.78E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,97,0.930098763,1.36E-14,1.36E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,98,0.921572315,1.34E-14,1.34E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,99,0.913199889,1.31E-14,1.31E-14,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 1,100,0.904977376,0,0,,,,,,,,,,,,0.3625307,0.8610869,1.5833332
Equation 2,0,0,0,0,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,1,4.385187244,0.287409555,0.000565116,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,2,7.491015834,0.495023906,0.000973894,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,3,9.850708065,0.656317587,0.001291959,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,4,11.7582445,0.789839692,0.001555688,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,5,13.38324276,0.906351042,0.001786194,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,6,14.82761476,1.012357099,0.001996249,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,7,16.15471293,1.111930858,0.002193853,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,8,17.40500455,1.207695712,0.002384163,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,9,18.60486483,1.301378105,0.002570577,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,10,19.77170559,1.39413059,0.002755365,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,11,20.917075,1.4867275,0.002940056,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,12,22.04859301,1.579687422,0.003125676,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,13,23.17119634,1.673352192,0.003312902,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,14,24.28796172,1.767939328,0.003502168,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,15,25.40066401,1.863577748,0.003693732,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,16,26.51016325,1.960332699,0.003887729,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,17,27.61667856,2.05822356,0.0040842,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,18,28.71998531,2.157236796,0.004283123,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,19,29.81955888,2.257335547,0.004484427,,,,,,,,,,,,0.41414,0.9582334,2.02515
Equation 2,20,30.91468065,2.358466823,0.004688012,,,,,,,,,,,,0.41414,0.9582334,2.02515
